ranking,score,movie_name,score_num
164,8.9,追随,81037人评价
165,8.6,时空恋旅人,195171人评价
166,8.6,撞车,172705人评价
167,8.4,唐伯虎点秋香,317547人评价
168,8.6,心迷宫,157711人评价
169,8.7,罗生门,123041人评价
170,8.6,超能陆战队,361319人评价
171,8.7,一次别离,130600人评价
172,8.5,蝙蝠侠：黑暗骑士崛起,290714人评价
173,8.5,战争之王,172679人评价
174,8.7,可可西里,127241人评价
175,8.7,梦之安魂曲,110376人评价
176,8.8,未麻的部屋,94637人评价
177,8.8,地球上的星星,82830人评价
178,8.6,爆裂鼓手,232809人评价
179,8.7,碧海蓝天,107100人评价
180,8.3,恐怖游轮,315612人评价
181,8.3,秒速5厘米,289878人评价
182,8.5,阿飞正传,177815人评价
183,8.6,达拉斯买家俱乐部,164905人评价
184,8.7,牯岭街少年杀人事件,104658人评价
185,8.5,谍影重重2,156640人评价
186,8.5,谍影重重,188863人评价
187,8.6,海盗电台,163511人评价
188,8.9,惊魂记,81133人评价
189,8.5,被解救的姜戈,255109人评价
190,8.4,魔女宅急便,190238人评价
191,8.5,再次出发之纽约遇见你,163912人评价
192,9.2,东京物语,49427人评价
193,8.7,绿里奇迹,104588人评价
194,8.4,青蛇,215959人评价
195,8.7,末路狂花,102504人评价
196,8.5,勇闯夺命岛,139624人评价
197,8.8,哪吒闹海,78052人评价
198,9.1,迁徙的鸟,51191人评价
199,9.0,忠犬八公物语,56065人评价
200,8.6,荒野生存,124794人评价
201,8.5,终结者2：审判日,138253人评价
202,8.6,卡萨布兰卡,122322人评价
203,8.5,这个男人来自地球,175279人评价
204,8.3,源代码,401122人评价
205,8.4,变脸,210168人评价
206,8.4,新龙门客栈,178925人评价
207,8.6,燕尾蝶,106521人评价
208,8.5,黑客帝国3：矩阵革命,151827人评价
209,9.1,黄金三镖客,50213人评价
210,8.5,E.T. 外星人,149385人评价
211,8.4,英国病人,171396人评价
212,9.2,城市之光,42498人评价
213,8.4,发条橙,182976人评价
214,8.4,美国丽人,181762人评价
215,8.4,无耻混蛋,218921人评价
216,8.6,叫我第一名,106619人评价
217,8.5,模仿游戏,247686人评价
218,8.3,穆赫兰道,229993人评价
219,8.6,非常嫌疑犯,113799人评价
220,8.3,初恋这件小事,448279人评价
221,8.9,勇士,85977人评价
222,8.6,上帝也疯狂,94191人评价
223,8.8,房间,144698人评价
224,8.7,头脑特工队,216067人评价
225,8.8,爱在午夜降临前,111985人评价
226,8.3,蓝色大门,268566人评价
227,8.6,无敌破坏王,180167人评价
228,9.0,爱·回家,46306人评价
229,8.5,血钻,127481人评价
230,8.2,疯狂的石头,303977人评价
231,8.3,国王的演讲,330808人评价
232,8.6,大卫·戈尔的一生,89146人评价
233,8.6,枪火,97230人评价
234,8.5,麦兜故事,124683人评价
235,8.7,千钧一发,82758人评价
236,8.4,暖暖内含光,141235人评价
237,8.3,曾经,198911人评价
238,8.5,遗愿清单,123372人评价
239,8.5,荒岛余生,129404人评价
240,8.8,步履不停,65308人评价
241,8.7,一个叫欧维的男人决定去死,106874人评价
242,8.4,彗星来的那一夜,166962人评价
243,8.6,蝴蝶,93509人评价
244,9.0,我爱你,54591人评价
245,8.6,巴黎淘气帮,102770人评价
246,8.5,月球,139889人评价
247,8.9,与狼共舞,54886人评价
248,8.5,偷拐抢骗,113615人评价
249,9.0,无人知晓,49283人评价
250,8.8,寿司之神,80241人评价
